,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall,time
0,10s,3,16,6,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,34.83746337890625
1,10s,3,16,12,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,8.475808382034302
2,10s,3,16,24,0.79,0.7763976909629453,0.806861347205307,0.8283910533910535,0.79,6.749959468841553
3,10s,3,32,6,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,11.950125217437744
4,10s,3,32,12,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,8.269860029220581
5,10s,3,32,24,0.79,0.7856787137808056,0.8090597900502055,0.8301731601731602,0.79,6.84187912940979
6,10s,3,64,6,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,12.476961612701416
7,10s,3,64,12,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,8.668029069900513
8,10s,3,64,24,0.8128571428571428,0.7760321165666355,0.812578828828829,0.8123683261183261,0.8128571428571428,7.138128995895386
9,10s,6,16,6,0.6212338593974175,0.5476399739757138,0.6206789050424131,0.6201608692257391,0.6212338593974175,14.325607061386108
10,10s,6,16,12,0.6212338593974175,0.5476399739757138,0.6206789050424131,0.6201608692257391,0.6212338593974175,9.306362628936768
11,10s,6,16,24,0.6197991391678622,0.5775436294614519,0.6361642060443374,0.6543105046896808,0.6197991391678622,7.24379563331604
12,10s,6,32,6,0.6212338593974175,0.5476399739757138,0.6206789050424131,0.6201608692257391,0.6212338593974175,12.831459760665894
13,10s,6,32,12,0.6212338593974175,0.5476399739757138,0.6206789050424131,0.6201608692257391,0.6212338593974175,8.709038019180298
14,10s,6,32,24,0.6197991391678622,0.5775436294614519,0.6361642060443374,0.6543105046896808,0.6197991391678622,6.794586181640625
15,10s,6,64,6,0.6212338593974175,0.5476399739757138,0.6206789050424131,0.6201608692257391,0.6212338593974175,13.963252782821655
16,10s,6,64,12,0.6212338593974175,0.5476399739757138,0.6206789050424131,0.6201608692257391,0.6212338593974175,9.920751094818115
17,10s,6,64,24,0.6197991391678622,0.5775436294614519,0.6361642060443374,0.6543105046896808,0.6197991391678622,7.637010097503662
18,10s,12,16,6,0.4283646888567294,0.3447670734960651,0.42728339793040954,0.4264478254765594,0.4283646888567294,18.56151819229126
19,10s,12,16,12,0.4283646888567294,0.3447670734960651,0.42728339793040954,0.4264478254765594,0.4283646888567294,11.3044912815094
20,10s,12,16,24,0.4283646888567294,0.35731538992408557,0.4398835301465173,0.45249940584721754,0.4283646888567294,7.818989276885986
21,10s,12,32,6,0.4283646888567294,0.3447670734960651,0.42728339793040954,0.4264478254765594,0.4283646888567294,16.895671606063843
22,10s,12,32,12,0.4283646888567294,0.3447670734960651,0.42728339793040954,0.4264478254765594,0.4283646888567294,11.252910137176514
23,10s,12,32,24,0.4283646888567294,0.35731538992408557,0.4398835301465173,0.45249940584721754,0.4283646888567294,7.854401350021362
24,10s,12,64,6,0.4283646888567294,0.3447670734960651,0.42728339793040954,0.4264478254765594,0.4283646888567294,19.65941619873047
25,10s,12,64,12,0.4283646888567294,0.3447670734960651,0.42728339793040954,0.4264478254765594,0.4283646888567294,12.759105205535889
26,10s,12,64,24,0.4283646888567294,0.35731538992408557,0.4398835301465173,0.45249940584721754,0.4283646888567294,9.070237398147583
27,30s,3,16,6,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,6.479461431503296
28,30s,3,16,12,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,5.496742486953735
29,30s,3,16,24,0.4956896551724138,0.5029283801874164,0.5889707817846802,0.7502693965517241,0.4956896551724138,4.982945442199707
30,30s,3,32,6,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,6.498373746871948
31,30s,3,32,12,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,5.6434409618377686
32,30s,3,32,24,0.5474137931034483,0.5024880352869745,0.5849414742170199,0.6326329022988505,0.5474137931034483,5.6717445850372314
33,30s,3,64,6,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,8.717842817306519
34,30s,3,64,12,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,6.438913583755493
35,30s,3,64,24,0.5603448275862069,0.49716451395372957,0.5736618630983016,0.5882273706896551,0.5603448275862069,5.296097755432129
36,30s,6,16,6,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,6.711088418960571
37,30s,6,16,12,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,5.447772264480591
38,30s,6,16,24,0.42358078602620086,0.37866161616161614,0.5100204452519376,0.6579737600375256,0.42358078602620086,4.854170799255371
39,30s,6,32,6,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,6.6721391677856445
40,30s,6,32,12,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,5.601240396499634
41,30s,6,32,24,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,5.266598463058472
42,30s,6,64,6,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,6.49983549118042
43,30s,6,64,12,0.37554585152838427,0.3031510653524265,0.384236932496674,0.3935996697900729,0.37554585152838427,5.304379224777222
