,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall,time
0,10s,3,16,6,0.9587871820663888,0.5877300024053662,0.9587871820663888,0.9587871820663888,0.9587871820663888,438.8909695148468
1,10s,3,16,12,0.9587871820663888,0.5877300024053662,0.9587871820663888,0.9587871820663888,0.9587871820663888,201.0632815361023
2,10s,3,16,24,0.9587871820663888,0.5877300024053662,0.9587871820663888,0.9587871820663888,0.9587871820663888,107.75107073783875
3,10s,3,32,6,0.9587871820663888,0.5550783356050681,0.9587871820663888,0.9587871820663888,0.9587871820663888,409.614284992218
4,10s,3,32,12,0.9906595775255065,0.5494356099582304,0.9906595775255065,0.9906595775255065,0.9906595775255065,216.9864146709442
5,10s,3,32,24,0.9906595775255065,0.5783532736402425,0.9906595775255065,0.9906595775255065,0.9906595775255065,105.55821585655212
6,10s,3,64,6,0.9906595775255065,0.523272009484029,0.9906595775255065,0.9906595775255065,0.9906595775255065,411.6348829269409
7,10s,3,64,12,0.9906595775255065,0.5494356099582304,0.9906595775255065,0.9906595775255065,0.9906595775255065,251.57330513000488
8,10s,3,64,24,0.9906595775255065,0.5783532736402425,0.9906595775255065,0.9906595775255065,0.9906595775255065,129.82238245010376
9,10s,6,16,6,0.9535812830535755,0.5538118704532883,0.9535812830535755,0.9535812830535755,0.9535812830535755,400.3787486553192
10,10s,6,16,12,0.9535812830535755,0.46636789090803216,0.9535812830535755,0.9535812830535755,0.9535812830535755,217.1924331188202
11,10s,6,16,24,0.9535812830535755,0.516896184587093,0.9536153315527883,0.9536575986552598,0.9535812830535755,116.01286745071411
12,10s,6,32,6,0.9535812830535755,0.4663678909080322,0.9535812830535755,0.9535812830535755,0.9535812830535755,414.8568584918976
13,10s,6,32,12,0.9535812830535755,0.4663678909080322,0.9535812830535755,0.9535812830535755,0.9535812830535755,216.92910361289978
14,10s,6,32,24,0.9535812830535755,0.4922772181807007,0.9535812830535755,0.9535812830535755,0.9535812830535755,119.71120691299438
15,10s,6,64,6,0.9853702000459876,0.5187154865157566,0.9853702000459876,0.9853702000459876,0.9853702000459876,517.5007717609406
16,10s,6,64,12,0.9853702000459876,0.5187154865157566,0.9853702000459876,0.9853702000459876,0.9853702000459876,315.3334903717041
17,10s,6,64,24,0.9853702000459876,0.5187154865157566,0.9853702000459876,0.9853702000459876,0.9853702000459876,174.98681592941284
18,10s,12,16,6,0.9475076180072443,0.4698097639736238,0.9475076180072443,0.9475076180072443,0.9475076180072443,678.9951553344727
19,10s,12,16,12,0.9475076180072443,0.4437092215306447,0.9475076180072443,0.9475076180072443,0.9475076180072443,369.7661337852478
20,10s,12,16,24,0.9475076180072443,0.46951031026674134,0.9475487037164365,0.9475900095276425,0.9475076180072443,193.86261677742004
21,10s,12,32,6,0.9475363652043925,0.4437023812784495,0.9475931005650744,0.9476498454077253,0.9475363652043925,652.6774370670319
22,10s,12,32,12,0.9475076180072443,0.4698097639736238,0.9475076180072443,0.9475076180072443,0.9475076180072443,342.42443108558655
23,10s,12,32,24,0.9476513539929857,0.46979780374272423,0.9477931986367534,0.9479351025454343,0.9476513539929857,191.02721881866455
24,10s,12,64,6,0.9791295348703501,0.4724197168760595,0.9791295348703501,0.9791295348703501,0.9791295348703501,738.5172121524811
25,10s,12,64,12,0.9791295348703501,0.4724197168760595,0.9791295348703501,0.9791295348703501,0.9791295348703501,404.9506981372833
26,10s,12,64,24,0.979215776461795,0.44879881350620865,0.9792583324742682,0.9793008938209121,0.979215776461795,257.79927945137024
27,30s,3,16,6,0.9521427955505735,0.5328809076186005,0.9521427955505735,0.9521427955505735,0.9521427955505735,90.17785024642944
28,30s,3,16,12,0.9521427955505735,0.5317445439822369,0.9521510078550693,0.9521600413900148,0.9521427955505735,59.49940586090088
29,30s,3,16,24,0.9523152539449857,0.5997822668173247,0.9589836951012185,0.9836371066037596,0.9523152539449857,32.48186469078064
30,30s,3,32,6,0.9838751401224455,0.5948755167830211,0.9838751401224455,0.9838751401224455,0.9838751401224455,92.44773960113525
31,30s,3,32,12,0.9521427955505735,0.5015349718763299,0.9521427955505735,0.9521427955505735,0.9521427955505735,56.78608512878418
32,30s,3,32,24,0.9522290247477796,0.5924414044014377,0.9524641178131239,0.958790731043964,0.9522290247477796,32.23398041725159
33,30s,3,64,6,0.9838751401224455,0.5948755167830211,0.9838751401224455,0.9838751401224455,0.9838751401224455,95.0526020526886
